Sample Name,Host Organism,Sample Type,Nucleotide Type,Collection Date,Rothman Location,is_enriched,Water Control,Collection Location
SRR21452137,Human,Environmental,RNA,2020-07,ESC,0,No,California
SRR21452136,Human,Environmental,RNA,2020-07,ESC,0,No,California
SRR18341038,Human,Environmental,RNA,2020-08,ESC,1,No,California
SRR18340986,Human,Environmental,RNA,2020-08,ESC,1,No,California
SRR18341037,Human,Environmental,RNA,2020-08,ESC,1,No,California
SRR18341036,Human,Environmental,RNA,2020-09,ESC,1,No,California
SRR18341035,Human,Environmental,RNA,2020-09,ESC,1,No,California
SRR18340978,Human,Environmental,RNA,2020-10,ESC,1,No,California
SRR18341039,Human,Environmental,RNA,2020-10,ESC,1,No,California
SRR18341028,Human,Environmental,RNA,2020-10,ESC,1,No,California
SRR18341017,Human,Environmental,RNA,2020-10,ESC,1,No,California
SRR18341080,Human,Environmental,RNA,2020-11,ESC,1,No,California
SRR18340967,Human,Environmental,RNA,2020-11,ESC,1,No,California
SRR18341135,Human,Environmental,RNA,2020-11,ESC,1,No,California
SRR18341124,Human,Environmental,RNA,2020-11,ESC,1,No,California
SRR18341113,Human,Environmental,RNA,2020-12,ESC,1,No,California
SRR18341062,Human,Environmental,RNA,2020-12,ESC,1,No,California
SRR18340994,Human,Environmental,RNA,2021-01,ESC,1,No,California
SRR18341137,Human,Environmental,RNA,2021-01,ESC,1,No,California
SRR18341136,Human,Environmental,RNA,2021-01,ESC,1,No,California
SRR18341005,Human,Environmental,RNA,2021-01,ESC,1,No,California
SRR18341007,Human,Environmental,RNA,2021-02,ESC,1,No,California
SRR18341097,Human,Environmental,RNA,2021-02,ESC,1,No,California
SRR18341086,Human,Environmental,RNA,2021-02,ESC,1,No,California
SRR18341001,Human,Environmental,RNA,2021-03,ESC,1,No,California
SRR18341004,Human,Environmental,RNA,2021-03,ESC,1,No,California
SRR18341003,Human,Environmental,RNA,2021-03,ESC,1,No,California
SRR18341002,Human,Environmental,RNA,2021-03,ESC,1,No,California
SRR18340997,Human,Environmental,RNA,2021-04,ESC,1,No,California
SRR18341000,Human,Environmental,RNA,2021-04,ESC,1,No,California
SRR18340999,Human,Environmental,RNA,2021-04,ESC,1,No,California
SRR18340995,Human,Environmental,RNA,2021-05,ESC,1,No,California
SRR18340993,Human,Environmental,RNA,2021-05,ESC,1,No,California
SRR18340992,Human,Environmental,RNA,2021-06,ESC,1,No,California
SRR18340991,Human,Environmental,RNA,2021-06,ESC,1,No,California
SRR18340987,Human,Environmental,RNA,2021-07,ESC,1,No,California
SRR18340989,Human,Environmental,RNA,2021-07,ESC,1,No,California
SRR18340988,Human,Environmental,RNA,2021-07,ESC,1,No,California
SRR14530767,Human,Environmental,RNA,2020-08,HTP,0,No,California
SRR14530790,Human,Environmental,RNA,2020-08,HTP,1,No,California
SRR14530766,Human,Environmental,RNA,2020-08,HTP,0,No,California
SRR14530779,Human,Environmental,RNA,2020-08,HTP,1,No,California
SRR14530765,Human,Environmental,RNA,2020-08,HTP,0,No,California
SRR14530768,Human,Environmental,RNA,2020-08,HTP,1,No,California
SRR14530757,Human,Environmental,RNA,2020-09,HTP,1,No,California
SRR14530764,Human,Environmental,RNA,2020-09,HTP,0,No,California
SRR14530746,Human,Environmental,RNA,2020-09,HTP,1,No,California
SRR14530763,Human,Environmental,RNA,2020-09,HTP,0,No,California
SRR14530735,Human,Environmental,RNA,2020-09,HTP,1,No,California
SRR14530762,Human,Environmental,RNA,2020-09,HTP,0,No,California
SRR14530843,Human,Environmental,RNA,2020-09,HTP,1,No,California
SRR14530881,Human,Environmental,RNA,2020-09,HTP,0,No,California
SRR14530842,Human,Environmental,RNA,2020-09,HTP,1,No,California
SRR14530880,Human,Environmental,RNA,2020-09,HTP,0,No,California
SRR14530772,Human,Environmental,RNA,2020-10,HTP,0,No,California
SRR14530820,Human,Environmental,RNA,2020-10,HTP,1,No,California
SRR14530771,Human,Environmental,RNA,2020-10,HTP,0,No,California
SRR14530819,Human,Environmental,RNA,2020-10,HTP,1,No,California
SRR14530770,Human,Environmental,RNA,2020-10,HTP,0,No,California
SRR14530812,Human,Environmental,RNA,2020-10,HTP,1,No,California
SRR14530769,Human,Environmental,RNA,2020-10,HTP,0,No,California
SRR14530801,Human,Environmental,RNA,2020-10,HTP,1,No,California
SRR14530847,Human,Environmental,RNA,2020-11,HTP,1,No,California
SRR14530888,Human,Environmental,RNA,2020-11,HTP,0,No,California
SRR14530890,Human,Environmental,RNA,2020-11,HTP,0,No,California
SRR14530848,Human,Environmental,RNA,2020-11,HTP,1,No,California
SRR14530889,Human,Environmental,RNA,2020-11,HTP,0,No,California
SRR14530887,Human,Environmental,RNA,2020-12,HTP,0,No,California
SRR14530846,Human,Environmental,RNA,2020-12,HTP,1,No,California
SRR14530886,Human,Environmental,RNA,2020-12,HTP,0,No,California
SRR14530885,Human,Environmental,RNA,2020-12,HTP,0,No,California
SRR14530845,Human,Environmental,RNA,2020-12,HTP,1,No,California
SRR14530884,Human,Environmental,RNA,2020-12,HTP,0,No,California
SRR14530844,Human,Environmental,RNA,2020-12,HTP,1,No,California
SRR14530882,Human,Environmental,RNA,2020-12,HTP,0,No,California
SRR14530849,Human,Environmental,RNA,2021-01,HTP,1,No,California
SRR14530891,Human,Environmental,RNA,2021-01,HTP,0,No,California
SRR18341023,Human,Environmental,RNA,2021-01,HTP,1,No,California
SRR18341022,Human,Environmental,RNA,2021-01,HTP,1,No,California
SRR18341033,Human,Environmental,RNA,2021-01,HTP,1,No,California
SRR18341032,Human,Environmental,RNA,2021-01,HTP,1,No,California
SRR18341031,Human,Environmental,RNA,2021-01,HTP,1,No,California
SRR18341030,Human,Environmental,RNA,2021-01,HTP,1,No,California
SRR18341025,Human,Environmental,RNA,2021-01,HTP,1,No,California
SRR18341016,Human,Environmental,RNA,2021-02,HTP,1,No,California
SRR18340984,Human,Environmental,RNA,2021-02,HTP,1,No,California
SRR18340983,Human,Environmental,RNA,2021-02,HTP,1,No,California
SRR18340982,Human,Environmental,RNA,2021-02,HTP,1,No,California
SRR18341020,Human,Environmental,RNA,2021-02,HTP,1,No,California
SRR18341019,Human,Environmental,RNA,2021-02,HTP,1,No,California
SRR18341018,Human,Environmental,RNA,2021-02,HTP,1,No,California
SRR18341015,Human,Environmental,RNA,2021-02,HTP,1,No,California
SRR18341014,Human,Environmental,RNA,2021-02,HTP,1,No,California
SRR18340985,Human,Environmental,RNA,2021-02,HTP,1,No,California
SRR18340976,Human,Environmental,RNA,2021-03,HTP,1,No,California
SRR18340968,Human,Environmental,RNA,2021-03,HTP,1,No,California
SRR18340966,Human,Environmental,RNA,2021-03,HTP,1,No,California
SRR18340980,Human,Environmental,RNA,2021-03,HTP,1,No,California
SRR18340979,Human,Environmental,RNA,2021-03,HTP,1,No,California
SRR18340977,Human,Environmental,RNA,2021-03,HTP,1,No,California
SRR18340975,Human,Environmental,RNA,2021-03,HTP,1,No,California
SRR18340974,Human,Environmental,RNA,2021-03,HTP,1,No,California
SRR18340973,Human,Environmental,RNA,2021-03,HTP,1,No,California
SRR18340972,Human,Environmental,RNA,2021-03,HTP,1,No,California
SRR18340971,Human,Environmental,RNA,2021-03,HTP,1,No,California
SRR18340970,Human,Environmental,RNA,2021-03,HTP,1,No,California
SRR18340960,Human,Environmental,RNA,2021-04,HTP,1,No,California
SRR18340959,Human,Environmental,RNA,2021-04,HTP,1,No,California
SRR18340958,Human,Environmental,RNA,2021-04,HTP,1,No,California
SRR18340965,Human,Environmental,RNA,2021-04,HTP,1,No,California
SRR18340964,Human,Environmental,RNA,2021-04,HTP,1,No,California
SRR18340963,Human,Environmental,RNA,2021-04,HTP,1,No,California
SRR18340961,Human,Environmental,RNA,2021-04,HTP,1,No,California
SRR18341076,Human,Environmental,RNA,2021-05,HTP,1,No,California
SRR18341134,Human,Environmental,RNA,2021-05,HTP,1,No,California
SRR18341133,Human,Environmental,RNA,2021-05,HTP,1,No,California
SRR18341081,Human,Environmental,RNA,2021-05,HTP,1,No,California
SRR18341079,Human,Environmental,RNA,2021-05,HTP,1,No,California
SRR18341078,Human,Environmental,RNA,2021-05,HTP,1,No,California
SRR18341077,Human,Environmental,RNA,2021-05,HTP,1,No,California
SRR18341075,Human,Environmental,RNA,2021-05,HTP,1,No,California
SRR18341073,Human,Environmental,RNA,2021-05,HTP,1,No,California
SRR18341072,Human,Environmental,RNA,2021-05,HTP,1,No,California
SRR18341071,Human,Environmental,RNA,2021-05,HTP,1,No,California
SRR18341132,Human,Environmental,RNA,2021-06,HTP,1,No,California
SRR18341125,Human,Environmental,RNA,2021-06,HTP,1,No,California
SRR18341130,Human,Environmental,RNA,2021-06,HTP,1,No,California
SRR18341129,Human,Environmental,RNA,2021-06,HTP,1,No,California
SRR18341128,Human,Environmental,RNA,2021-06,HTP,1,No,California
SRR18341127,Human,Environmental,RNA,2021-06,HTP,1,No,California
SRR18341123,Human,Environmental,RNA,2021-07,HTP,1,No,California
SRR18341118,Human,Environmental,RNA,2021-07,HTP,1,No,California
SRR18341122,Human,Environmental,RNA,2021-07,HTP,1,No,California
SRR18341121,Human,Environmental,RNA,2021-07,HTP,1,No,California
SRR18341120,Human,Environmental,RNA,2021-07,HTP,1,No,California
SRR18341119,Human,Environmental,RNA,2021-07,HTP,1,No,California
SRR14530761,Human,Environmental,RNA,2020-10,JW,0,No,California
SRR14530818,Human,Environmental,RNA,2020-10,JW,1,No,California
SRR14530760,Human,Environmental,RNA,2020-10,JW,0,No,California
SRR14530894,Human,Environmental,RNA,2020-10,JW,1,No,California
SRR14530756,Human,Environmental,RNA,2020-08,JWPC,0,No,California
SRR14530861,Human,Environmental,RNA,2020-08,JWPC,1,No,California
SRR14530755,Human,Environmental,RNA,2020-08,JWPC,0,No,California
SRR14530850,Human,Environmental,RNA,2020-08,JWPC,1,No,California
SRR14530754,Human,Environmental,RNA,2020-08,JWPC,0,No,California
SRR14530839,Human,Environmental,RNA,2020-08,JWPC,1,No,California
SRR14530753,Human,Environmental,RNA,2020-09,JWPC,0,No,California
SRR14530828,Human,Environmental,RNA,2020-09,JWPC,1,No,California
SRR14530752,Human,Environmental,RNA,2020-09,JWPC,0,No,California
SRR14530814,Human,Environmental,RNA,2020-09,JWPC,1,No,California
SRR14530751,Human,Environmental,RNA,2020-09,JWPC,0,No,California
SRR14530813,Human,Environmental,RNA,2020-09,JWPC,1,No,California
SRR14530750,Human,Environmental,RNA,2020-09,JWPC,0,No,California
SRR14530811,Human,Environmental,RNA,2020-09,JWPC,1,No,California
SRR14530837,Human,Environmental,RNA,2020-09,JWPC,1,No,California
SRR14530876,Human,Environmental,RNA,2020-09,JWPC,0,No,California
SRR14530759,Human,Environmental,RNA,2020-10,JWPC,0,No,California
SRR14530883,Human,Environmental,RNA,2020-10,JWPC,1,No,California
SRR14530758,Human,Environmental,RNA,2020-10,JWPC,0,No,California
SRR14530872,Human,Environmental,RNA,2020-10,JWPC,1,No,California
SRR14530838,Human,Environmental,RNA,2020-11,JWPC,1,No,California
SRR14530877,Human,Environmental,RNA,2020-11,JWPC,0,No,California
SRR14530841,Human,Environmental,RNA,2020-11,JWPC,1,No,California
SRR14530879,Human,Environmental,RNA,2020-11,JWPC,0,No,California
SRR14530840,Human,Environmental,RNA,2020-11,JWPC,1,No,California
SRR14530878,Human,Environmental,RNA,2020-11,JWPC,0,No,California
SRR14530747,Human,Environmental,RNA,2020-08,NC,0,No,California
SRR14530808,Human,Environmental,RNA,2020-08,NC,1,No,California
SRR14530745,Human,Environmental,RNA,2020-08,NC,0,No,California
SRR14530807,Human,Environmental,RNA,2020-08,NC,1,No,California
SRR14530744,Human,Environmental,RNA,2020-09,NC,0,No,California
SRR14530806,Human,Environmental,RNA,2020-09,NC,1,No,California
SRR14530874,Human,Environmental,RNA,2020-09,NC,0,No,California
SRR14530749,Human,Environmental,RNA,2020-10,NC,0,No,California
SRR14530810,Human,Environmental,RNA,2020-10,NC,1,No,California
SRR14530748,Human,Environmental,RNA,2020-10,NC,0,No,California
SRR14530809,Human,Environmental,RNA,2020-10,NC,1,No,California
SRR14530875,Human,Environmental,RNA,2020-11,NC,0,No,California
SRR14530742,Human,Environmental,RNA,2020-08,OC,0,No,California
SRR14530804,Human,Environmental,RNA,2020-08,OC,1,No,California
SRR14530741,Human,Environmental,RNA,2020-08,OC,0,No,California
SRR14530803,Human,Environmental,RNA,2020-08,OC,1,No,California
SRR14530740,Human,Environmental,RNA,2020-08,OC,0,No,California
SRR14530802,Human,Environmental,RNA,2020-08,OC,1,No,California
SRR14530739,Human,Environmental,RNA,2020-09,OC,0,No,California
SRR14530800,Human,Environmental,RNA,2020-09,OC,1,No,California
SRR14530738,Human,Environmental,RNA,2020-09,OC,0,No,California
SRR14530799,Human,Environmental,RNA,2020-09,OC,1,No,California
SRR14530737,Human,Environmental,RNA,2020-09,OC,0,No,California
SRR14530798,Human,Environmental,RNA,2020-09,OC,1,No,California
SRR14530736,Human,Environmental,RNA,2020-09,OC,0,No,California
SRR14530797,Human,Environmental,RNA,2020-09,OC,1,No,California
SRR14530734,Human,Environmental,RNA,2020-09,OC,0,No,California
SRR14530796,Human,Environmental,RNA,2020-09,OC,1,No,California
SRR14530743,Human,Environmental,RNA,2020-10,OC,0,No,California
SRR14530805,Human,Environmental,RNA,2020-10,OC,1,No,California
SRR21452135,Human,Environmental,RNA,2020-10,OC,0,No,California
SRR14530835,Human,Environmental,RNA,2020-11,OC,1,No,California
SRR14530869,Human,Environmental,RNA,2020-11,OC,0,No,California
SRR14530868,Human,Environmental,RNA,2020-11,OC,0,No,California
SRR14530836,Human,Environmental,RNA,2020-11,OC,1,No,California
SRR14530873,Human,Environmental,RNA,2020-11,OC,0,No,California
SRR14530871,Human,Environmental,RNA,2020-11,OC,0,No,California
SRR14530870,Human,Environmental,RNA,2020-11,OC,0,No,California
SRR14530834,Human,Environmental,RNA,2020-12,OC,1,No,California
SRR14530867,Human,Environmental,RNA,2020-12,OC,0,No,California
SRR14530833,Human,Environmental,RNA,2020-12,OC,1,No,California
SRR14530866,Human,Environmental,RNA,2020-12,OC,0,No,California
SRR14530732,Human,Environmental,RNA,2020-08,PL,0,No,California
SRR14530794,Human,Environmental,RNA,2020-08,PL,1,No,California
SRR14530731,Human,Environmental,RNA,2020-08,PL,0,No,California
SRR14530793,Human,Environmental,RNA,2020-08,PL,1,No,California
SRR14530730,Human,Environmental,RNA,2020-09,PL,0,No,California
SRR14530792,Human,Environmental,RNA,2020-09,PL,1,No,California
SRR14530729,Human,Environmental,RNA,2020-09,PL,0,No,California
SRR14530791,Human,Environmental,RNA,2020-09,PL,1,No,California
SRR14530733,Human,Environmental,RNA,2020-10,PL,0,No,California
SRR14530795,Human,Environmental,RNA,2020-10,PL,1,No,California
SRR14530827,Human,Environmental,RNA,2020-11,PL,1,No,California
SRR14530860,Human,Environmental,RNA,2020-11,PL,0,No,California
SRR14530830,Human,Environmental,RNA,2020-11,PL,1,No,California
SRR14530863,Human,Environmental,RNA,2020-11,PL,0,No,California
SRR14530829,Human,Environmental,RNA,2020-11,PL,1,No,California
SRR14530862,Human,Environmental,RNA,2020-11,PL,0,No,California
SRR14530826,Human,Environmental,RNA,2020-12,PL,1,No,California
SRR14530859,Human,Environmental,RNA,2020-12,PL,0,No,California
SRR14530825,Human,Environmental,RNA,2020-12,PL,1,No,California
SRR14530858,Human,Environmental,RNA,2020-12,PL,0,No,California
SRR14530824,Human,Environmental,RNA,2020-12,PL,1,No,California
SRR14530857,Human,Environmental,RNA,2020-12,PL,0,No,California
SRR14530832,Human,Environmental,RNA,2021-01,PL,1,No,California
SRR14530865,Human,Environmental,RNA,2021-01,PL,0,No,California
SRR14530831,Human,Environmental,RNA,2021-01,PL,1,No,California
SRR14530864,Human,Environmental,RNA,2021-01,PL,0,No,California
SRR18341066,Human,Environmental,RNA,2021-01,PL,1,No,California
SRR18341117,Human,Environmental,RNA,2021-01,PL,1,No,California
SRR18341116,Human,Environmental,RNA,2021-01,PL,1,No,California
SRR18341114,Human,Environmental,RNA,2021-01,PL,1,No,California
SRR18341111,Human,Environmental,RNA,2021-01,PL,1,No,California
SRR18341110,Human,Environmental,RNA,2021-01,PL,1,No,California
SRR18341068,Human,Environmental,RNA,2021-01,PL,1,No,California
SRR18341067,Human,Environmental,RNA,2021-01,PL,1,No,California
SRR18341055,Human,Environmental,RNA,2021-02,PL,1,No,California
SRR18341054,Human,Environmental,RNA,2021-02,PL,1,No,California
SRR18341064,Human,Environmental,RNA,2021-02,PL,1,No,California
SRR18341063,Human,Environmental,RNA,2021-02,PL,1,No,California
SRR18341061,Human,Environmental,RNA,2021-02,PL,1,No,California
SRR18341060,Human,Environmental,RNA,2021-02,PL,1,No,California
SRR18341059,Human,Environmental,RNA,2021-02,PL,1,No,California
SRR18341058,Human,Environmental,RNA,2021-02,PL,1,No,California
SRR18341053,Human,Environmental,RNA,2021-03,PL,1,No,California
SRR18341042,Human,Environmental,RNA,2021-03,PL,1,No,California
SRR18341107,Human,Environmental,RNA,2021-03,PL,1,No,California
SRR18341106,Human,Environmental,RNA,2021-03,PL,1,No,California
SRR18341052,Human,Environmental,RNA,2021-03,PL,1,No,California
SRR18341050,Human,Environmental,RNA,2021-03,PL,1,No,California
SRR18341049,Human,Environmental,RNA,2021-03,PL,1,No,California
SRR18341048,Human,Environmental,RNA,2021-03,PL,1,No,California
SRR18341047,Human,Environmental,RNA,2021-03,PL,1,No,California
SRR18341045,Human,Environmental,RNA,2021-03,PL,1,No,California
SRR18341044,Human,Environmental,RNA,2021-03,PL,1,No,California
SRR18341043,Human,Environmental,RNA,2021-03,PL,1,No,California
SRR18341109,Human,Environmental,RNA,2021-03,PL,1,No,California
SRR18341100,Human,Environmental,RNA,2021-04,PL,1,No,California
SRR18341099,Human,Environmental,RNA,2021-04,PL,1,No,California
SRR18341098,Human,Environmental,RNA,2021-04,PL,1,No,California
SRR18341105,Human,Environmental,RNA,2021-04,PL,1,No,California
SRR18341103,Human,Environmental,RNA,2021-04,PL,1,No,California
SRR18341102,Human,Environmental,RNA,2021-04,PL,1,No,California
SRR18341101,Human,Environmental,RNA,2021-04,PL,1,No,California
SRR18341092,Human,Environmental,RNA,2021-05,PL,1,No,California
SRR18341090,Human,Environmental,RNA,2021-05,PL,1,No,California
SRR18341089,Human,Environmental,RNA,2021-05,PL,1,No,California
SRR18341088,Human,Environmental,RNA,2021-05,PL,1,No,California
SRR18341096,Human,Environmental,RNA,2021-05,PL,1,No,California
SRR18341094,Human,Environmental,RNA,2021-05,PL,1,No,California
SRR18341093,Human,Environmental,RNA,2021-05,PL,1,No,California
SRR18341091,Human,Environmental,RNA,2021-05,PL,1,No,California
SRR18341085,Human,Environmental,RNA,2021-06,PL,1,No,California
SRR18341082,Human,Environmental,RNA,2021-06,PL,1,No,California
SRR18341087,Human,Environmental,RNA,2021-06,PL,1,No,California
SRR18341084,Human,Environmental,RNA,2021-06,PL,1,No,California
SRR18341083,Human,Environmental,RNA,2021-06,PL,1,No,California
SRR18341009,Human,Environmental,RNA,2021-07,PL,1,No,California
SRR18341012,Human,Environmental,RNA,2021-07,PL,1,No,California
SRR18341011,Human,Environmental,RNA,2021-07,PL,1,No,California
SRR18341010,Human,Environmental,RNA,2021-07,PL,1,No,California
SRR18341008,Human,Environmental,RNA,2021-08,PL,1,No,California
SRR14530727,Human,Environmental,RNA,2020-08,SB,0,No,California
SRR14530788,Human,Environmental,RNA,2020-08,SB,1,No,California
SRR14530726,Human,Environmental,RNA,2020-08,SB,0,No,California
SRR14530787,Human,Environmental,RNA,2020-08,SB,1,No,California
SRR14530724,Human,Environmental,RNA,2020-09,SB,0,No,California
SRR14530786,Human,Environmental,RNA,2020-09,SB,1,No,California
SRR14530725,Human,Environmental,RNA,2020-09,SB,0,No,California
SRR14530785,Human,Environmental,RNA,2020-09,SB,1,No,California
SRR14530823,Human,Environmental,RNA,2020-10,SB,1,No,California
SRR14530856,Human,Environmental,RNA,2020-10,SB,0,No,California
SRR14530728,Human,Environmental,RNA,2020-10,SB,0,No,California
SRR14530789,Human,Environmental,RNA,2020-10,SB,1,No,California
SRR14530822,Human,Environmental,RNA,2020-11,SB,1,No,California
SRR14530855,Human,Environmental,RNA,2020-11,SB,0,No,California
SRR14530780,Human,Environmental,RNA,2020-08,SJ,1,No,California
SRR14530899,Human,Environmental,RNA,2020-08,SJ,0,No,California
SRR14530778,Human,Environmental,RNA,2020-08,SJ,1,No,California
SRR14530898,Human,Environmental,RNA,2020-08,SJ,0,No,California
SRR14530777,Human,Environmental,RNA,2020-08,SJ,1,No,California
SRR14530897,Human,Environmental,RNA,2020-08,SJ,0,No,California
SRR14530776,Human,Environmental,RNA,2020-09,SJ,1,No,California
SRR14530896,Human,Environmental,RNA,2020-09,SJ,0,No,California
SRR14530775,Human,Environmental,RNA,2020-09,SJ,1,No,California
SRR14530895,Human,Environmental,RNA,2020-09,SJ,0,No,California
SRR14530774,Human,Environmental,RNA,2020-09,SJ,1,No,California
SRR14530893,Human,Environmental,RNA,2020-09,SJ,0,No,California
SRR14530815,Human,Environmental,RNA,2020-09,SJ,1,No,California
SRR14530851,Human,Environmental,RNA,2020-09,SJ,0,No,California
SRR14530773,Human,Environmental,RNA,2020-09,SJ,1,No,California
SRR14530892,Human,Environmental,RNA,2020-09,SJ,0,No,California
SRR14530784,Human,Environmental,RNA,2020-10,SJ,1,No,California
SRR14530903,Human,Environmental,RNA,2020-10,SJ,0,No,California
SRR14530783,Human,Environmental,RNA,2020-10,SJ,1,No,California
SRR14530902,Human,Environmental,RNA,2020-10,SJ,0,No,California
SRR14530782,Human,Environmental,RNA,2020-10,SJ,1,No,California
SRR14530901,Human,Environmental,RNA,2020-10,SJ,0,No,California
SRR14530781,Human,Environmental,RNA,2020-10,SJ,1,No,California
SRR14530900,Human,Environmental,RNA,2020-10,SJ,0,No,California
SRR14530816,Human,Environmental,RNA,2020-11,SJ,1,No,California
SRR14530852,Human,Environmental,RNA,2020-11,SJ,0,No,California
SRR14530821,Human,Environmental,RNA,2020-11,SJ,1,No,California
SRR14530854,Human,Environmental,RNA,2020-11,SJ,0,No,California
SRR14530817,Human,Environmental,RNA,2020-11,SJ,1,No,California
SRR14530853,Human,Environmental,RNA,2020-11,SJ,0,No,California